Disease,Medications,Age Group,Dosage
Arthritis,"Vestibular rehabilitation, Canalith repositioning, Medications for nausea, Surgery, Home exercises",61–70,Vestibular Rehabilitation: Reduced dose or enhanced monitoring; Canalith Repositioning: Reduced dose or enhanced monitoring; Medications For Nausea: Reduced dose or enhanced monitoring; Surgery: Reduced dose or enhanced monitoring; Home Exercises: Reduced dose or enhanced monitoring
(vertigo) Paroymsal Positional Vertigo,"Topical treatments, Antibiotics, Oral medications, Hormonal treatments, Isotretinoin",18–30,Topical Treatments: Standard adult dose; Antibiotics: Standard adult dose; Oral Medications: Standard adult dose; Hormonal Treatments: Standard adult dose; Isotretinoin: Standard adult dose
(vertigo) Paroymsal Positional Vertigo,"Topical treatments, Antibiotics, Oral medications, Hormonal treatments, Isotretinoin",31–40,"Topical Treatments: Standard dose, check tolerability; Antibiotics: Standard dose, check tolerability; Oral Medications: Standard dose, check tolerability; Hormonal Treatments: Standard dose, check tolerability; Isotretinoin: Standard dose, check tolerability"
(vertigo) Paroymsal Positional Vertigo,"Topical treatments, Antibiotics, Oral medications, Hormonal treatments, Isotretinoin",41–50,"Topical Treatments: Standard dose, monitor early effects; Antibiotics: Standard dose, monitor early effects; Oral Medications: Standard dose, monitor early effects; Hormonal Treatments: Standard dose, monitor early effects; Isotretinoin: Standard dose, monitor early effects"
(vertigo) Paroymsal Positional Vertigo,"Topical treatments, Antibiotics, Oral medications, Hormonal treatments, Isotretinoin",51–60,Topical Treatments: Minimum effective dose; Antibiotics: Minimum effective dose; Oral Medications: Minimum effective dose; Hormonal Treatments: Minimum effective dose; Isotretinoin: Minimum effective dose
(vertigo) Paroymsal Positional Vertigo,"Topical treatments, Antibiotics, Oral medications, Hormonal treatments, Isotretinoin",61–70,Topical Treatments: Reduced dose or enhanced monitoring; Antibiotics: Reduced dose or enhanced monitoring; Oral Medications: Reduced dose or enhanced monitoring; Hormonal Treatments: Reduced dose or enhanced monitoring; Isotretinoin: Reduced dose or enhanced monitoring
Acne,"Antibiotics, Pain relievers, Antihistamines, Corticosteroids, Topical treatments",18–30,Antibiotics: Standard adult dose; Pain Relievers: Standard adult dose; Antihistamines: Standard adult dose; Corticosteroids: Standard adult dose; Topical Treatments: Standard adult dose
Acne,"Antibiotics, Pain relievers, Antihistamines, Corticosteroids, Topical treatments",31–40,"Antibiotics: Standard dose, check tolerability; Pain Relievers: Standard dose, check tolerability; Antihistamines: Standard dose, check tolerability; Corticosteroids: Standard dose, check tolerability; Topical Treatments: Standard dose, check tolerability"
Acne,"Antibiotics, Pain relievers, Antihistamines, Corticosteroids, Topical treatments",41–50,"Antibiotics: Standard dose, monitor early effects; Pain Relievers: Standard dose, monitor early effects; Antihistamines: Standard dose, monitor early effects; Corticosteroids: Standard dose, monitor early effects; Topical Treatments: Standard dose, monitor early effects"
Acne,"Antibiotics, Pain relievers, Antihistamines, Corticosteroids, Topical treatments",51–60,Antibiotics: Minimum effective dose; Pain Relievers: Minimum effective dose; Antihistamines: Minimum effective dose; Corticosteroids: Minimum effective dose; Topical Treatments: Minimum effective dose
Acne,"Antibiotics, Pain relievers, Antihistamines, Corticosteroids, Topical treatments",61–70,Antibiotics: Reduced dose or enhanced monitoring; Pain Relievers: Reduced dose or enhanced monitoring; Antihistamines: Reduced dose or enhanced monitoring; Corticosteroids: Reduced dose or enhanced monitoring; Topical Treatments: Reduced dose or enhanced monitoring
Urinary tract infection,"Antibiotics, Urinary analgesics, Phenazopyridine, Antispasmodics, Probiotics",18–30,Antibiotics: Standard adult dose; Urinary Analgesics: Standard adult dose; Phenazopyridine: Standard adult dose; Antispasmodics: Standard adult dose; Probiotics: Standard adult dose
Urinary tract infection,"Antibiotics, Urinary analgesics, Phenazopyridine, Antispasmodics, Probiotics",31–40,"Antibiotics: Standard dose, check tolerability; Urinary Analgesics: Standard dose, check tolerability; Phenazopyridine: Standard dose, check tolerability; Antispasmodics: Standard dose, check tolerability; Probiotics: Standard dose, check tolerability"
Urinary tract infection,"Antibiotics, Urinary analgesics, Phenazopyridine, Antispasmodics, Probiotics",41–50,"Antibiotics: Standard dose, monitor early effects; Urinary Analgesics: Standard dose, monitor early effects; Phenazopyridine: Standard dose, monitor early effects; Antispasmodics: Standard dose, monitor early effects; Probiotics: Standard dose, monitor early effects"
Urinary tract infection,"Antibiotics, Urinary analgesics, Phenazopyridine, Antispasmodics, Probiotics",51–60,Antibiotics: Minimum effective dose; Urinary Analgesics: Minimum effective dose; Phenazopyridine: Minimum effective dose; Antispasmodics: Minimum effective dose; Probiotics: Minimum effective dose
Urinary tract infection,"Antibiotics, Urinary analgesics, Phenazopyridine, Antispasmodics, Probiotics",61–70,Antibiotics: Reduced dose or enhanced monitoring; Urinary Analgesics: Reduced dose or enhanced monitoring; Phenazopyridine: Reduced dose or enhanced monitoring; Antispasmodics: Reduced dose or enhanced monitoring; Probiotics: Reduced dose or enhanced monitoring
Psoriasis,"Topical treatments, Phototherapy, Systemic medications, Biologics, Coal tar",18–30,Topical Treatments: Standard adult dose; Phototherapy: Standard adult dose; Systemic Medications: Standard adult dose; Biologics: Standard adult dose; Coal Tar: Standard adult dose
Psoriasis,"Topical treatments, Phototherapy, Systemic medications, Biologics, Coal tar",31–40,"Topical Treatments: Standard dose, check tolerability; Phototherapy: Standard dose, check tolerability; Systemic Medications: Standard dose, check tolerability; Biologics: Standard dose, check tolerability; Coal Tar: Standard dose, check tolerability"
Psoriasis,"Topical treatments, Phototherapy, Systemic medications, Biologics, Coal tar",41–50,"Topical Treatments: Standard dose, monitor early effects; Phototherapy: Standard dose, monitor early effects; Systemic Medications: Standard dose, monitor early effects; Biologics: Standard dose, monitor early effects; Coal Tar: Standard dose, monitor early effects"
Psoriasis,"Topical treatments, Phototherapy, Systemic medications, Biologics, Coal tar",51–60,Topical Treatments: Minimum effective dose; Phototherapy: Minimum effective dose; Systemic Medications: Minimum effective dose; Biologics: Minimum effective dose; Coal Tar: Minimum effective dose
Psoriasis,"Topical treatments, Phototherapy, Systemic medications, Biologics, Coal tar",61–70,Topical Treatments: Reduced dose or enhanced monitoring; Phototherapy: Reduced dose or enhanced monitoring; Systemic Medications: Reduced dose or enhanced monitoring; Biologics: Reduced dose or enhanced monitoring; Coal Tar: Reduced dose or enhanced monitoring
Impetigo,"Topical antibiotics, Oral antibiotics, Antiseptics, Ointments, Warm compresses",18–30,Topical Antibiotics: Standard adult dose; Oral Antibiotics: Standard adult dose; Antiseptics: Standard adult dose; Ointments: Standard adult dose; Warm Compresses: Standard adult dose
Impetigo,"Topical antibiotics, Oral antibiotics, Antiseptics, Ointments, Warm compresses",31–40,"Topical Antibiotics: Standard dose, check tolerability; Oral Antibiotics: Standard dose, check tolerability; Antiseptics: Standard dose, check tolerability; Ointments: Standard dose, check tolerability; Warm Compresses: Standard dose, check tolerability"
Impetigo,"Topical antibiotics, Oral antibiotics, Antiseptics, Ointments, Warm compresses",41–50,"Topical Antibiotics: Standard dose, monitor early effects; Oral Antibiotics: Standard dose, monitor early effects; Antiseptics: Standard dose, monitor early effects; Ointments: Standard dose, monitor early effects; Warm Compresses: Standard dose, monitor early effects"
Impetigo,"Topical antibiotics, Oral antibiotics, Antiseptics, Ointments, Warm compresses",51–60,Topical Antibiotics: Minimum effective dose; Oral Antibiotics: Minimum effective dose; Antiseptics: Minimum effective dose; Ointments: Minimum effective dose; Warm Compresses: Minimum effective dose
Impetigo,"Topical antibiotics, Oral antibiotics, Antiseptics, Ointments, Warm compresses",61–70,Topical Antibiotics: Reduced dose or enhanced monitoring; Oral Antibiotics: Reduced dose or enhanced monitoring; Antiseptics: Reduced dose or enhanced monitoring; Ointments: Reduced dose or enhanced monitoring; Warm Compresses: Reduced dose or enhanced monitoring
